symbol;available_exchanges;currency_base;currency_quote
BCH/GBP;"[""Coinbase Pro""]";Bitcoin Cash;British Pound
BCH/HKD;"[""Synthetic""]";Bitcoin Cash;Hong Kong Dollar
BCH/HT;"[""Huobi""]";Bitcoin Cash;Huobi Token
BCH/ILS;"[""Synthetic""]";Bitcoin Cash;Israeli Shekel
BCH/INR;"[""Synthetic""]";Bitcoin Cash;Indian Rupee
BCH/JPY;"[""Bitbank"",""QUOINE"",""Zaif""]";Bitcoin Cash;Japanese Yen
BCH/KRW;"[""Bithumb"",""Coinone"",""Korbit"",""Upbit""]";Bitcoin Cash;Korean Won
BCH/MXN;"[""Synthetic""]";Bitcoin Cash;Mexican Peso
BCH/MYR;"[""Synthetic""]";Bitcoin Cash;Malaysian Ringgit
BCH/PLN;"[""BitBay"",""Synthetic""]";Bitcoin Cash;Polish Zloty
BCH/RUB;"[""Exmo"",""Synthetic""]";Bitcoin Cash;Russian Ruble
BCH/SAR;"[""Synthetic""]";Bitcoin Cash;Saudi Riyal
BCH/SEK;"[""Synthetic""]";Bitcoin Cash;Swedish Krona
BCH/SGD;"[""QUOINE""]";Bitcoin Cash;Singapore Dollar
BCHSV/AUD;"[""BTC Markets""]";Bitcoin SV;Australian Dollar
BCHSV/BTC;"[""Poloniex""]";Bitcoin SV;Bitcoin
BCHSV/DOGE;"[""YoBit""]";Bitcoin SV;Dogecoin
BCHSV/ETH;"[""Bibox"",""Kucoin""]";Bitcoin SV;Ethereum
BCHSV/IDR;"[""Indodax""]";Bitcoin SV;Indonesian Rupiah
BCHSV/INR;"[""Bitbns""]";Bitcoin SV;Indian Rupee
BCHSV/USD;"[""Bitfinex"",""IDCM""]";Bitcoin SV;US Dollar
BCH/THB;"[""Bitkub""]";Bitcoin Cash;Thai Baht
BCH/TRY;"[""Koineks"",""Koinim"",""Paribu"",""Synthetic""]";Bitcoin Cash;Turkish Lira
BCH/USD;"[""Huobi""]";Bitcoin Cash;US Dollar
BCH/VND;"[""Synthetic""]";Bitcoin Cash;Vietnamese Dong
BCH/XRP;"[""Bitrue""]";Bitcoin Cash;XRP
BCH/ZAR;"[""Synthetic""]";Bitcoin Cash;South African Rand
BCI/BTC;"[""STEX""]";Bitcoin Interest;Bitcoin
BCI/USD;"[""Synthetic""]";Bitcoin Interest;US Dollar
BCN/ETH;"[""HitBTC""]";Bytecoin;Ethereum
BCN/USD;"[""HitBTC""]";Bytecoin;US Dollar
BCO/USD;"[""Synthetic""]";BridgeCoin;US Dollar
BCPT/BNB;"[""Binance DEX""]";Blockmason Credit Protocol;Binance Coin
BCPT/BTC;"[""Binance""]";BlockMason Credit...;Bitcoin
BCPT/ETH;"[""HitBTC""]";Blockmason Credit Protocol;Ethereum
